"","series_markedness_fullness"
"aari1239",4.53972645274855
"abar1238",8.34344280039699
"abau1245",6.19667424405432
"abid1235",8.34675178980749
"abkh1244",5.53248594502282
"abua1244",8.667665682354
"abur1243",8.12970417492302
"acat1239",3.94154321918267
"acha1249",3.29880527416944
"acha1250",6.03512457491453
"ache1245",1.91723772504012
"ache1246",3.4005922281923
"achi1257",2.04788810130465
"achu1247",5.70848935958977
"achu1248",8.04706334242251
"acol1236",8.24910848909759
"adam1253",8.45458727465777
"adan1247",7.92815764501851
"adan1251",5.01444349318134
"adio1239",8.30781499587357
"adny1235",9.50173825301802
"adyg1241",5.90428159157399
"adze1240",1.87420416614151
"afad1236",4.8469057601261
"afar1241",2.83182967780273
"afit1238",4.97477223531698
"aghe1239",8.01777023859738
"agua1253",8.58119424946378
"ahan1243",8.63708785579939
"ahan1244",5.70881112220872
"aheu1239",3.30176119756092
"ahte1237",5.66924151543471
"ainu1240",6.61266680206129
"ajab1235",7.98802726258328
"ajas1235",9.32654585840603
"ajyi1238",5.3450462694211
"akan1250",9.57526998766795
"akas1242",7.8992825159113
"akaw1239",6.84721019957817
"akha1245",3.48646543060934
"akla1241",1.36569994947592
"akoo1248",7.81510627024067
"akpe1248",8.04818929771714
"akun1241",3.43240285041865
"alab1237",6.65601924025522
"alab1254",2.92568300698394
"alam1246",5.26077145135429
"alaw1244",4.98649578043695
"aleu1260",6.50753987384302
"alla1248",8.24195988794089
"alut1245",5.1985977682901
"alya1239",9.19634120762343
"amah1246",6.64391015929577
"aman1265",8.05791646922582
"amar1271",6.62891973878711
"amar1274",5.51457740729342
"amas1236",4.32829839187191
"ambe1247",6.91451918329051
"ambu1247",3.66028990524259
"amdo1237",4.65183692005572
"amel1241",7.94367345384291
"amha1245",2.92111750532087
"amii1238",4.70116144907813
"amoo1242",8.31220624754065
"amun1246",5.09133079643221
"ande1247",9.05490627682994
"andi1255",5.20302324567494
"anei1239",1.04513991630856
"anfi1235",6.09115515834202
"anga1288",1.9777283217097
"anga1290",5.1178465301393
"anii1245",8.4146806145075
"anin1240",6.91738585146873
"anta1253",8.9369101044193
"anua1242",8.60455667979479
"anuf1239",9.03941927937548
"anyi1244",8.71662196917385
"anyi1245",8.53127336759861
"aona1235",1.87305632885922
"apal1257",7.20990811861743
"apat1240",3.35462486735089
"apin1244",4.63038636823853
"apro1235",7.34755832830931
"apur1254",5.32790000256738
"arab1268",4.23767208285443
"arag1245",6.39030007551758
"aran1237",4.88203047920953
"arao1248",6.28447762417189
"araw1273",5.09578993739566
"araw1276",5.90745947160455
"arbe1236",7.71673212668946
"arbo1245",3.7570228263285
"arch1244",5.03881813537684
"argo1244",3.11416759516089
"arhu1242",5.83128035780488
"arik1265",5.6053067408431
"arin1244",2.96977107162072
"asha1243",5.09410817805293
"ashe1272",5.16069683957433
"assa1263",5.38913317134514
"astu1245",6.24232331236906
"atay1247",1.95929441991269
"atti1239",8.40268951718645
"auuu1241",8.36302944991385
"avac1239",4.84042509468327
"avar1256",5.26689560685043
"avat1244",7.71281919936354
"avik1243",8.69340624881166
"avok1242",3.14892679860516
"awac1239",5.5453731403807
"awad1243",6.94676369628924
"awar1248",5.74422651403288
"awet1244",3.02698332123144
"awin1248",7.35882233242732
"awiy1238",7.370900474899
"awng1244",2.94524590660563
"awtu1239",6.73709169321128
"axiy1235",2.73989681702907
"ayac1239",5.56084192256205
"ayer1245",5.76110958820946
"ayor1240",6.37748948328932
"baan1242",9.45593956195082
"baat1238",7.66573763447198
"baba1264",7.07632074375464
"baba1266",8.06024795273148
"bada1257",4.43884574174874
"bade1248",5.40082195106322
"bady1239",7.3870149551225
"bafa1247",7.84204810466554
"bafa1249",7.21999642148559
"bafi1243",7.73112710953681
"bafu1246",7.39790724454447
"baga1272",8.19981454375436
"baga1273",8.32684477430879
"bagi1246",1.11145415235796
"baim1244",5.02789163989859
"baka1272",8.44213721598777
"baka1273",7.80269479257279
"baka1274",1.2520503565944
"baka1277",6.86675508665186
"bakh1245",6.06688528460604
"bako1249",7.21342086827375
"bako1250",7.23802023645977
"bala1302",8.31059150712894
"bali1278",1.96418865853646
"balt1258",4.61783008591892
"bamb1262",4.52288754411338
"bamb1265",7.30758534761619
"bamb1269",8.56897249371989
"bame1260",7.26908548419342
"bamu1253",7.17680773755222
"bamu1256",8.70927690303985
"bana1305",3.98050362843101
"band1345",7.99561607727075
"band1352",7.90735900527956
"bang1356",6.9100921433168
"bani1255",5.69603217137372
"bank1256",7.13974845555206
"baou1238",8.58561774081655
"bara1380",4.74555670723551
"bard1255",9.34337921271949
"bare1276",5.30998331755353
"bare1279",5.43174361526576
"bari1286",1.86868590921535
"bari1297",6.61551516041968
"baru1269",9.26967449330059
"basa1284",7.18660708089048
"bash1264",1.97791415048998
"bass1260",7.73596603522035
"bata1285",8.14211536351955
"bata1289",2.10914267623493
"bata1293",2.24377739008949
"bats1242",3.81531609919205
"baur1253",5.09715822019543
"bayu1240",8.48980540058066
"beem1239",7.35467732007926
"befa1241",7.76932256952763
"begb1241",7.47349596993059
"beja1238",5.01280547775142
"bekw1241",7.46592406254469
"bela1255",8.87324792680751
"bela1256",8.77216114655292
"bela1260",1.01087748581613
"belh1239",2.1476142660054
"bell1243",3.12841236813188
"bemb1257",7.88582612537612
"bena1262",8.04305511457711
"benc1235",5.43756554417496
"beng1280",5.61973362159497
"beng1286",9.08750523144318
"bero1242",7.4017460852878
"besi1244",4.62329789578723
"bett1235",4.7264738729164
"bhel1238",8.41848873364325
"bhil1251",5.02861135755213
"bhoj1244",4.72364373797793
"biak1248",1.03359605270499
"bial1238",7.80950830223667
"bidy1243",9.7815076045212
"bidy1244",9.03511878081965
"bila1255",7.77053913944621
"bili1260",3.46789374211003
"bimo1239",8.13264529896841
"bina1277",7.82093527997117
"bini1246",7.96824595065284
"binu1245",7.91222410309003
"biss1248",8.5209290450099
"blan1242",4.12981840706543
"bodo1267",4.68169305170614
"bodo1269",3.00139957813582
"boik1241",4.87615317334829
"boko1266",8.80306179017502
"bomi1238",7.52688046791121
"bona1250",4.84299687233815
"bond1245",4.33531614282057
"bong1285",1.83746879598376
"bora1263",5.31495930587027
"bora1271",3.55096420822374
"bord1248",6.51596525782525
"boro1277",5.70046279710686
"boro1282",4.75589139054117
"boun1243",7.64999924966392
"bouy1240",6.10890754421211
"brah1256",3.78554020597802
"bret1244",4.94422043267708
"brib1243",6.46466959269831
"brok1247",6.42363950641689
"buam1238",8.08052376868436
"budu1250",7.72678082140728
"bugi1244",2.28111202434547
"bujh1238",2.77309931927877
"buku1249",8.24817973074022
"bulg1262",5.43282530951171
"buli1254",7.78506801656659
"bulu1251",7.88512382768048
"bumb1241",9.93729014249283
"bumm1238",8.47141125015072
"buna1275",6.4771158228677
"bund1253",4.92143875811767
"buol1237",1.41865237131497
"bura1267",9.09027032470005
"burj1242",3.29117358151528
"buru1301",7.08479307440065
"busa1253",8.71008697302918
"buwa1243",5.55062319533503
"cabi1241",6.21268170753996
"cacu1241",9.00964099705437
"cadd1256",5.64407487624986
"caja1238",5.28107388622204
"came1252",8.22106283015746
"camp1261",5.71487677738475
"cane1242",5.75939886280261
"capa1241",7.19298713093184
"caqu1242",5.24279240033012
"cara1272",4.64458774494307
"cari1279",6.52162333908221
"carn1240",4.59973212993631
"cash1251",6.21829951106873
"cash1254",6.9956180787944
"cavi1250",6.54820149005336
"ceba1235",9.39478239402643
"cebu1242",1.32931756884349
"cent1972",4.62922774997422
"cent1973",6.08533994177998
"cent1989",4.43744298184254
"cent1990",4.71143543941162
"cent2004",2.89361388436225
"cent2018",8.05729715198218
"cent2050",1.77390809419232
"cent2087",1.07104962175967
"cent2092",1.97656863983914
"cent2128",6.57330050197513
"cent2142",4.44386405596884
"cent2144",4.4805877297893
"cent2150",5.49161729220534
"cent2194",5.56084102547902
"cerm1238",7.1270924972852
"chac1249",3.96777386497951
"chac1250",5.56350482215657
"chac1251",6.99130302814767
"chal1275",3.03931508645324
"cham1312",1.3881944493949
"cham1315",6.88518068833029
"cham1318",6.046983856654
"chan1310",4.0773327562577
"chau1259",3.70486477777134
"chay1248",5.1154865346729
"chec1245",3.93735833385502
"chee1238",7.61968902942785
"chen1255",4.41407362933414
"chep1245",2.9147844076879
"cher1271",8.66723596113344
"cher1273",4.09007906996159
"chic1270",6.03048111801582
"chim1300",4.58594570530974
"chim1302",4.66833041942423
"chim1309",6.09226357281358
"chip1261",5.75575929545502
"chip1262",4.71712492952759
"chiq1248",7.12769132415846
"chiq1250",5.32100466311202
"chir1286",3.88721604453619
"choc1276",6.29077933118103
"chok1243",2.13113442127738
"chol1282",3.51329425687924
"chon1284",4.12161289930819
"chon1287",7.88217172726354
"chra1242",4.51846751226986
"chua1250",7.00272546099268
"chuk1273",5.75493261316086
"chum1261",8.79015265183801
"chuv1255",1.5531308004952
"coca1259",4.23640990402468
"coeu1236",3.36482186169025
"cogu1240",6.28170305043468
"colo1256",4.35455554561637
"coma1245",6.22988484592773
"como1259",4.03057910516517
"copa1236",4.62491918097583
"coro1247",4.3895022780897
"cros1244",8.06208764923016
"crow1244",4.2330286955175
"cube1242",4.33014329246822
"cuib1242",6.9347530163396
"culi1244",7.80201509500109
"curr1243",5.67533249568935
"cusc1236",5.32726242423748
"cuvo1236",3.89751552042441
"czec1258",5.35997941585299
"dadi1250",8.14524383968302
"dagb1246",7.98066179689533
"dagi1241",2.18864245060113
"daha1245",2.59913848992629
"dakp1242",4.75107518049481
"dalo1238",7.72043973251648
"dang1274",4.52121796511805
"dani1285",5.8147930619618
"dann1241",8.23868693888415
"darf1239",2.19856488263295
"dark1243",5.3067595132772
"darl1243",8.19635306148616
"darm1243",3.55367493594008
"daur1238",5.03100027520922
"dawr1236",5.4201913608966
"daww1239",5.28654710013862
"daza1242",1.74246018770417
"defa1248",1.96711387033341
"dege1246",8.66712717281252
"degg1238",7.6861283798549
"deni1241",7.89785541927405
"deny1238",7.87668655866201
"dera1245",9.46771957583094
"dera1248",3.82734545915918
"desa1247",4.5391843666677
"dghw1239",4.22483900068422
"dhal1245",7.69505882349245
"dhan1270",8.27215878162637
"dhar1247",8.27163187438724
"dhim1246",3.33172803644369
"dhiv1236",6.16488388983384
"dhuw1249",8.92164404802727
"dibo1245",7.27195069195123
"didi1258",1.92858237395862
"dido1241",5.15055962469657
"dier1241",8.24385082827999
"digo1243",7.30088022380118
"dime1235",4.4993786523805
"diml1238",5.23200923610109
"diri1252",8.00106565549488
"dita1238",7.36260776907189
"dizi1235",3.40990084743397
"djam1255",9.78076701844426
"djam1256",9.13172127615624
"djau1244",6.86561442189747
"djee1236",8.7559454486698
"djeo1235",5.80515412505391
"djin1251",9.49770882116072
"djin1252",9.18924510494286
"djin1253",8.93757569674582
"dobu1241",1.20490275041906
"dolg1241",2.35244909953986
"doma1258",6.00930644779377
"domp1238",9.54776096257097
"dong1285",4.71381785895103
"doya1240",7.66186775503257
"dual1243",7.39390828878859
"dupa1235",1.70145433510307
"duru1236",4.92201747051935
"duru1249",7.94859868075677
"dutc1256",5.33474715292548
"dyaa1242",7.98703007735126
"dyir1250",8.84390606515417
"dyul1238",8.20878945252152
"dzal1238",4.77365682256465
"dzon1239",4.31058852876354
"dzuu1241",8.31117944675697
"east2295",5.28769197658498
"east2304",4.62280949616305
"east2328",1.19306763806566
"east2337",4.8527435980848
"east2347",4.1170570567757
"east2379",9.04694291021283
"east2398",9.86865505283437
"east2426",7.87347994315012
"east2440",2.09622865540688
"east2516",7.87666852872661
"east2542",6.03111961169357
"east2555",3.18206662927035
"east2563",2.37210250905053
"east2652",3.75300698625884
"east2773",3.0315763397015
"ebir1243",8.09177729779282
"efik1245",8.39478161835747
"egaa1242",8.13605355614122
"eggo1239",7.04104777340105
"egyp1253",2.96326484426413
"ejag1239",8.23559933659641
"ekar1243",6.66330291163406
"ekpe1253",7.83005954089952
"elip1238",7.94666654419183
"eloy1241",6.90707721353491
"emai1241",7.39437486678805
"embe1259",6.45163687922417
"embe1260",6.6641773596752
"embe1262",5.52565982040961
"emer1243",4.70162983280057
"enap1235",6.7705675486154
"enaw1238",4.52533159435927
"enge1239",8.4040400950847
"epen1239",5.40576753374235
"erre1238",7.84620240865718
"ersu1241",3.271213298566
"erzy1239",1.13942882484756
"esee1248",6.80438938221018
"esim1238",7.14895991981075
"esto1258",2.27985330343608
"eten1239",7.50657334562236
"eton1253",8.09748506958314
"even1259",6.06307986591334
"even1260",5.70534340617009
"ewee1241",8.83239781816826
"ewon1239",8.07636295317121
"faiw1243",6.15533111411562
"fali1285",3.88188837436681
"fang1246",7.96105152459084
"fang1248",6.74740415417409
"faro1244",5.75174189447491
"fefe1239",7.709203863333
"fiji1243",1.66224376187406
"fili1244",1.2428268325411
"finn1318",1.90503085955659
"fipa1238",7.52602770537834
"fonn1241",8.04956036903653
"food1238",8.90507033857106
"fore1265",1.06538784023277
"fore1274",1.5168460547564
"friu1240",6.41760186486366
"fuli1240",7.04228648783744
"furr1244",1.06841816122971
"furu1242",1.52677156344527
"fwee1238",7.80296440470108
"gaaa1244",8.53552913542715
"gaaa1245",7.94817818159882
"gaam1241",5.20879716222846
"gade1236",5.28995695212062
"gads1258",7.34416731038026
"gaga1249",1.97535922104505
"gagn1235",7.65682036015076
"gagu1242",8.86812439587071
"gali1258",6.27333259324308
"gali1262",6.19470350519582
"galo1242",3.07135064709838
"gami1243",9.72884617422552
"gamo1243",5.2789761768068
"gand1255",7.97715891108199
"gang1267",6.18897435407455
"gara1269",6.06185796213505
"garo1247",3.20271384002597
"gata1239",4.31020063707912
"gava1241",5.3337229055577
"gavi1246",3.9028941947681
"gayo1244",1.36621128367453
"gbag1258",7.12890938792407
"gbar1246",7.13147648605783
"gbay1281",8.20091676891604
"gbay1287",8.15359721212299
"gbay1288",8.55715141491166
"gbes1238",7.6676808830509
"genn1243",8.9365228985298
"gheg1238",7.51540157711872
"ghod1238",5.5422946477375
"ghom1247",7.37158419207841
"gida1247",4.98349784355944
"giky1238",8.9865500535385
"gily1242",8.64603956700867
"giny1241",9.50644102157839
"giry1241",7.80283335290241
"glav1244",4.62708772022016
"godi1239",7.06908506752325
"goli1247",7.21553228248072
"gonj1241",9.5205568247799
"goon1238",6.80927706703877
"gour1243",7.86521536455922
"gras1249",5.20639377725831
"guah1255",6.4090068424747
"guaj1256",4.28122453216211
"guam1248",4.31344217920482
"guan1269",4.49154381157075
"guar1292",4.36301519572805
"guar1293",5.31135311240964
"guay1257",6.36945881059347
"gude1246",4.15114427611959
"guer1243",5.10018131061411
"gugu1254",8.78999142369431
"gugu1255",7.82004290284795
"guib1244",6.30398632678205
"guin1254",8.55413049419069
"guja1252",4.96058248589957
"guja1253",6.35748182517484
"guma1253",9.02276220291197
"gumu1244",6.0492914122593
"gunw1252",6.29669283069868
"guny1241",9.788912123499
"gupa1247",9.15388366990776
"gura1252",8.39007078948404
"gurd1238",8.83804015701963
"guri1247",8.73580645590077
"guro1248",8.26806311124015
"guru1261",4.25705372620936
"guwa1243",9.34581131780138
"gwan1268",5.0361682414975
"gwen1239",8.03228638882429
"hadi1240",3.20006268667746
"hain1253",8.0972970350265
"haka1240",2.22467467437859
"hakk1236",2.84916434571054
"halb1244",5.28762951140614
"halh1238",5.74732569148765
"halk1245",4.3639012285105
"hame1242",5.70866014143605
"hang1258",7.49221441432525
"hang1260",7.40158198599218
"hang1263",4.34170688431121
"hara1271",3.61412593029332
"haus1257",4.81833891536372
"hawa1245",1.17247951905176
"haya1250",8.72832057905767
"hdii1240",4.62483423779554
"hebr1245",3.6443503668987
"heib1243",6.6794744762286
